Tanggal,M1,M2,Uang Kartal,Simpanan Giro,Uang Kuasi,Inflasi
12/1/2022,2608797,8528022,897799,1710998,5894662,0.66
11/1/2022,2467951,8297350,840492,1627459,5805021,0.09
10/1/2022,2539067.31,8223055.02,808648.98,1730418.33,5657949.27,-0.11
9/1/2022,2320882.57,7962693.36,807817.51,1513065.06,5620748.97,1.17
8/1/2022,2279163.49,7897628.21,805459.05,1473704.43,5598840.36,-0.21
7/1/2022,2296045.42,7845551.91,822042.79,1474002.63,5530342.39,0.64
6/1/2022,2339449.79,7890747.01,815316.13,1524133.66,5526502.54,0.61
5/1/2022,2302911.17,7854186.71,820154.68,1482756.49,5524848.22,0.4
4/1/2022,2327208.49,7911484.49,896317.73,1430890.76,5556188.93,0.95
3/1/2022,2254591,7810949.32,792518.36,1462072.64,5529750.57,0.66
2/1/2022,2195617.78,7690134.5,795951.08,1399666.7,5470960.79,-0.02
1/1/2022,2149551.5,7646789.19,765015.11,1384536.39,5474169.65,0.56
12/1/2021,2282200.26,7870452.85,831233.71,1450966.55,5565577.54,0.57
11/1/2021,2114703.09,7573319.9,775051.34,1339651.75,5438522.72,0.37
10/1/2021,2071417.83,7491704.38,766703.91,1304713.92,5400094.37,0.12
9/1/2021,1968434.37,7300920.64,748616.24,1219818.13,5311397.61,-0.04
8/1/2021,1938389.63,7211500.72,750510.11,1187879.52,5252508.41,0.03
7/1/2021,1933291.47,7160560.33,758702.97,1174588.49,5210209.67,0.08
6/1/2021,1915429.33,7130061.42,739006.37,1176422.95,5198174.82,-0.16
5/1/2021,1861766.9,7004093.08,743534.2,1118232.71,5124161.16,0.32
4/1/2021,1850950.91,6964386.49,732643.55,1118307.36,5095802.07,0.13
3/1/2021,1827391.16,6895564.12,692478.03,1134913.13,5049972.23,0.08
2/1/2021,1784763.23,6817787.91,698226.62,1086536.61,5012979.2,0.1
1/1/2021,1762295.71,6767407.65,712529.24,1049766.46,4983837.73,0.26
12/1/2020,1855692.57,6905939.3,760112.42,1095580.15,5027026.92,0.45
11/1/2020,1799007.5,6821198.06,712556.11,1086451.39,4998174.48,0.28
10/1/2020,1782220.95,6782146.98,707830.54,1074390.4,4977349.96,0.07
9/1/2020,1780692.49,6748814.34,674412.32,1106280.18,4946776.42,-0.05
8/1/2020,1765210.74,6730993.74,666739.26,1098471.48,4946303.99,-0.05
7/1/2020,1683270.19,6566671.34,668184.78,1015085.4,4864633.95,-0.1
6/1/2020,1637724.85,6391611.86,651792.19,985932.66,4732922.08,0.18
5/1/2020,1653528.84,6465361.63,684962.67,968566.16,4787411.25,0.07
4/1/2020,1576444.33,6236651.02,634191.76,942252.56,4635642.22,0.08
3/1/2020,1648727.77,6441495.23,620399.67,1028328.1,4764589.38,0.1
2/1/2020,1505491.28,6118513.75,607961.8,897529.48,4586376.09,0.28
1/1/2020,1484500.12,6047998.56,616226.76,868273.35,4536779.84,0.39
12/1/2019,1565439.34,6136776.54,654764.21,910675.13,4545356.5,0.34
11/1/2019,1553134.22,6074377.02,622383.57,930750.65,4495761.03,0.14
10/1/2019,1504156.28,6026908.5,611081.3,893074.98,4497071.03,0.02
9/1/2019,1508817.97,6004277.17,614230.66,894587.32,4470662.25,-0.27
8/1/2019,1475544.35,5934561.51,622452.15,853092.2,4435064.35,0.12
7/1/2019,1487801.78,5941133.1,619652.4,868149.38,4435433.15,0.31
